id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
482	abreu r.	0.6521	0.1394	6	10	14	26	554	89.4312	2013.7308	21.3077	3.4397
676	adams b.	0.452	-0.604	2	5	21	22	498	59.0588	2013.0455	22.6364	2.6845
897	afzal w.	0.9944	-0.6541	2	11	47	42	560	85.8742	2016.0952	13.3333	2.0446
1129	ahmed b.s.	1.0201	-0.5572	2	3	18	23	323	59.0068	2016.1304	14.0435	2.5655
1233	aichernig b.k.	1.1425	0.1614	3	2	5	34	395	56.8791	2013.7353	11.6176	1.6729
2208	ali s.	0.3425	-0.6291	2	21	36	37	668	79.2939	2015.3784	18.0541	2.1431
2978	ammann p.	0.6409	0.235	11	11	34	31	854	97.3502	2011.6774	27.5484	3.1403
3305	andrews a.	0.543	0.1111	7	6	8	20	217	19.6849	2009.45	10.85	0.9842
3907	arcuri a.	0.8259	-0.3317	3	14	87	77	3457	415.8372	2013.6883	44.8961	5.4005
4228	artho c.	0.5817	-0.2529	8	7	22	22	257	29.7731	2013.2273	11.6818	1.3533
5444	bai x.	0.0293	0.0195	6	39	70	38	606	59.6704	2010.7895	15.9474	1.5703
6861	baudry b.	0.6574	-0.0933	2	8	33	47	808	86.1923	2012.6596	17.1915	1.8339
7455	belli f.	0.7879	1.0296	11	6	8	36	195	22.1831	2010.3333	5.4167	0.6162
8151	bertolino a.	0.6724	-1.0989	14	9	33	55	1071	106.8134	2010.1636	19.4727	1.9421
10839	breu r.	0.7775	-0.84	2	1	18	20	227	31.8293	2013.5	11.35	1.5915
10874	briand l.	0.8648	-0.6023	2	10	56	73	3186	340.953	2012.9452	43.6438	4.6706
12326	cadar c.	0.7703	0.221	8	6	7	23	975	118.2928	2014.2609	42.3913	5.1432
12411	cai y.	-0.1044	0.2147	10	46	94	71	943	90.4162	2010.7465	13.2817	1.2735
12862	cao y.	-0.2108	-0.4964	12	28	38	21	102	11.9607	2014.3333	4.8571	0.5696
14078	chan w.k.	-0.6689	-0.8515	12	26	93	56	1070	100.0193	2011.4107	19.1071	1.7861
14609	chen b.	-0.1704	0.0732	6	46	64	30	216	42.9711	2013.6	7.2	1.4324
14613	chen c.	-0.2757	-0.5219	6	47	58	39	421	66.2781	2012.4872	10.7949	1.6994
14638	chen d.	-0.5344	-0.4303	4	38	62	37	441	58.5114	2012.7297	11.9189	1.5814
14649	chen g.	-0.7654	0.2289	1	41	68	36	276	37.8603	2015.1667	7.6667	1.0517
14657	chen h.	-0.6326	-0.2512	1	84	126	71	304	78.0671	2014.1127	4.2817	1.0995
14684	chen j.	-0.4709	-0.6178	12	99	255	131	755	153.3418	2014.145	5.7634	1.1705
14711	chen l.	-0.8257	-0.0658	13	88	158	86	446	71.6363	2014.0581	5.186	0.833
14722	chen m.	-0.0506	-0.1932	1	55	73	43	232	33.2405	2015.0233	5.3953	0.773
14743	chen q.	-0.7706	-0.5173	9	21	35	24	89	13.9426	2014.75	3.7083	0.5809
14749	chen r.	-1.0476	-0.029	1	22	31	22	176	102.759	2014.5455	8	4.6709
14751	chen s.	-0.7001	0.1996	1	77	101	56	236	58.7121	2014.3036	4.2143	1.0484
14767	chen t.	-0.3693	-0.8017	12	69	339	199	3964	419.3001	2009.3166	19.9196	2.107
14773	chen w.	-0.3965	0.0749	1	38	44	37	111	21.8889	2014.2703	3	0.5916
14787	chen x.	-0.4787	-0.3711	4	84	144	80	383	81.8498	2014.9375	4.7875	1.0231
14797	chen y.	-0.2081	0.1303	1	124	211	149	1337	192.7527	2013.6443	8.9732	1.2936
14822	chen z.	-0.3368	-0.0308	6	104	232	115	688	119.3456	2015.0348	5.9826	1.0378
15373	choi b.	0.2999	0.4623	5	5	9	24	245	26.0398	2008.2083	10.2083	1.085
16081	clark j.a.	0.8575	-0.1452	3	3	5	22	277	26.1534	2010.5909	12.5909	1.1888
16120	clarke p.j.	0.2489	-0.4617	9	7	25	24	127	15.1007	2012.2083	5.2917	0.6292
16387	cohen m.b.	0.3428	0.1789	6	16	44	50	2614	249.2924	2012.04	52.28	4.9858
16436	colbourn c.j.	0.2363	-0.118	6	11	19	28	1052	92.9144	2010.75	37.5714	3.3184
17185	cotroneo d.	0.832	-1.5652	14	2	15	24	250	39.8605	2015.6667	10.4167	1.6609
18692	das s.	0.5459	0.2368	7	3	4	20	80	14.8473	2016.35	4	0.7424
19201	de halleux j.	0.5722	0.5109	8	8	44	24	1005	87.1822	2011.0833	41.875	3.6326
19891	delamaro m.e.	0.7641	0.5743	11	14	62	46	480	60.9456	2012.0217	10.4348	1.3249
20014	demeyer s.	1.294	-0.6259	2	3	6	23	244	28.509	2016.1739	10.6087	1.2395
20086	denaro g.	0.9797	-0.356	3	3	14	26	289	33.6607	2012.4615	11.1154	1.2946
20451	devroey x.	1.3297	-0.377	2	6	33	22	152	49.2137	2017.3636	6.9091	2.237
21013	ding j.	0.0607	-0.2861	9	20	35	30	145	24.9616	2014.4	4.8333	0.8321
21028	ding z.	-0.1747	-0.6758	12	28	41	28	89	14.9503	2014.9286	3.1786	0.5339
21212	do h.	0.3322	0.3565	5	5	12	33	1438	126.2979	2013.6061	43.5758	3.8272
21332	dohi t.	-0.8309	0.8379	13	5	38	50	429	39.8463	2011.14	8.58	0.7969
21523	dong w.	0.082	-0.0476	6	22	29	20	24	3.5338	2015.45	1.2	0.1767
21533	dong y.	-0.3553	0.5029	1	36	38	24	92	12.5977	2012.9583	3.8333	0.5249
22425	durelli v.h.s.	0.8339	0.7927	11	7	28	20	90	21.1896	2015.45	4.5	1.0595
23324	elbaum s.	0.1289	0.3232	5	8	17	24	1390	109.0577	2011.375	57.9167	4.5441
23341	eldh s.	1.1175	-0.7171	2	7	16	21	142	18.3664	2014.381	6.7619	0.8746
23686	endo a.t.	0.849	0.8872	11	4	20	22	71	18.9036	2016.1364	3.2273	0.8593
23764	engström e.	0.6309	-0.5268	2	5	18	20	642	68.2898	2012.65	32.1	3.4145
23995	ernst m.d.	0.6739	-0.2464	3	10	23	30	1841	209.8169	2012.9	61.3667	6.9939
24762	farchi e.	0.7245	0.4631	5	2	8	22	215	18.2115	2009.5	9.7727	0.8278
25183	felderer m.	0.7958	-0.7547	2	8	42	66	600	104.8698	2015.7727	9.0909	1.5889
25196	feldt r.	0.8039	-0.5619	2	8	34	53	809	95.4484	2013.5849	15.2642	1.8009
25242	feng c.	-0.4462	0.6378	10	19	42	20	9	2.9913	2016.95	0.45	0.1496
25274	feng y.	-1.018	-0.2133	6	42	68	30	159	30.8245	2016.0667	5.3	1.0275
25495	ferrari f.	0.9324	0.6415	11	2	12	22	253	29.6863	2013.6818	11.5	1.3494
26851	fraser g.	0.9359	-0.0885	3	29	134	118	3394	439.9551	2014.0254	28.7627	3.7284
