id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
73	algeria	0.2585	0.7897	3	18	50	95	388	65.8889	2014.3895	4.0842	0.6936
101	argentina	-0.899	0.6557	5	29	104	111	883	138.7622	2014.6306	7.955	1.2501
118	australia	1.0005	0.0529	1	55	746	1127	12287	1781.1473	2011.6948	10.9024	1.5804
119	austria	-0.4559	-0.6933	4	47	467	721	5464	806.4508	2013.4341	7.5784	1.1185
135	bangladesh	1.275	-0.0003	1	13	30	57	142	46.4696	2015.8947	2.4912	0.8153
146	belgium	-0.3942	0.0176	2	51	397	340	3621	576.5821	2013.6735	10.65	1.6958
176	brazil	-0.8069	0.3776	5	52	475	1289	7751	1189.0975	2013.7393	6.0132	0.9225
188	bulgaria	-0.2407	0.1066	2	29	61	66	236	31.4992	2012.9091	3.5758	0.4773
202	canada	0.1471	0.4444	3	62	1116	1925	19397	2815.94	2011.2987	10.0764	1.4628
221	chile	-1.0246	0.5445	5	29	93	91	604	107.3824	2015.0989	6.6374	1.18
222	china	1.0891	-0.1027	1	59	1437	6430	27506	4976.2116	2014.4944	4.2778	0.7739
239	colombia	-0.5173	0.272	5	34	119	124	684	152.63	2016.2419	5.5161	1.2309
260	costa rica	-1.265	0.8643	5	6	11	21	76	14.8118	2015.7619	3.619	0.7053
263	croatia	-0.5965	-0.0975	2	19	39	74	619	110.4067	2013.7027	8.3649	1.492
273	cyprus	-0.321	-0.9305	4	13	21	36	181	28.0397	2013.5	5.0278	0.7789
274	czech	-0.1806	-0.1542	2	44	162	347	1340	220.9958	2014.7061	3.8617	0.6369
296	denmark	-0.3328	-0.2529	2	41	194	187	4658	601.0291	2012.738	24.9091	3.2141
334	ecuador	-1.0391	0.4871	5	14	45	56	187	50.8613	2017.4107	3.3393	0.9082
337	egypt	0.1816	0.6179	3	29	111	242	999	187.2094	2014.7727	4.1281	0.7736
370	estonia	-0.3975	-0.0142	2	21	62	88	274	57.765	2014.2614	3.1136	0.6564
403	finland	-0.629	-0.5055	2	41	323	426	3618	456.4549	2012.0704	8.493	1.0715
408	france	-0.108	0.2427	3	70	1495	1891	17086	2401.8875	2012.2073	9.0354	1.2702
441	germany	-0.4249	-0.3086	2	65	1817	3018	26746	3786.0089	2012.7376	8.8622	1.2545
456	greece	-0.3217	-0.7195	4	39	199	264	2078	316.669	2013.5038	7.8712	1.1995
486	hong kong	1.6621	-0.2686	1	26	277	324	6011	710.8831	2010.6883	18.5525	2.1941
493	hungary	-0.0208	-0.0724	2	29	89	243	1059	169.9659	2013.6214	4.358	0.6994
502	iceland	-0.2991	-0.772	4	11	19	22	112	17.8734	2013.9545	5.0909	0.8124
511	india	0.4397	0.1187	1	52	417	2550	10489	1996.8329	2015.2	4.1133	0.7831
513	indonesia	0.829	0.0407	1	19	61	496	847	231.4488	2017.7641	1.7077	0.4666
535	iran	0.1585	0.5302	3	40	145	502	2799	653.9171	2014.9741	5.5757	1.3026
536	iraq	0.4738	0.0043	1	16	48	72	303	72.4975	2016.875	4.2083	1.0069
537	ireland	0.1996	-0.3571	4	37	162	207	1863	260.2648	2012.9372	9	1.2573
544	israel	-0.77	-0.8302	6	29	187	292	2359	283.0403	2010.613	8.0788	0.9693
549	italy	-0.5535	-0.166	2	68	1372	1952	17887	2680.2646	2012.564	9.1634	1.3731
555	japan	0.7449	-0.284	1	52	590	1260	8127	1186.1725	2010.7627	6.45	0.9414
567	jordan	0.4823	0.6006	3	17	60	115	437	92.7108	2014.9652	3.8	0.8062
574	kazakhstan	-0.3826	-0.4874	2	12	21	26	49	23.3777	2016.7308	1.8846	0.8991
590	kuwait	0.5205	0.9699	3	14	30	52	237	29.5715	2012.0385	4.5577	0.5687
602	latvia	-0.4741	-0.5628	2	16	29	59	234	36.3371	2014.0169	3.9661	0.6159
605	lebanon	0.5139	1.3183	3	9	27	81	667	60.7131	2012.0741	8.2346	0.7495
615	lithuania	0.1058	0.1334	1	20	25	44	80	16.1439	2013.5682	1.8182	0.3669
634	luxembourg	-0.1725	-0.7082	4	30	217	184	2793	549.8911	2015.7283	15.1793	2.9885
646	malaysia	0.6759	0.1957	1	36	203	579	2746	484.7431	2014.9396	4.7427	0.8372
676	mexico	-0.3215	0.3231	5	37	132	185	884	140.4893	2013.7946	4.7784	0.7594
706	morocco	0.3289	0.6158	3	21	47	62	263	66.2978	2016.3226	4.2419	1.0693
729	netherlands	-0.2109	-0.449	4	52	759	768	5886	963.3249	2012.4792	7.6641	1.2543
733	new zealand	0.2086	-0.5179	4	34	130	160	1918	225.7179	2012.8875	11.9875	1.4107
736	nigeria	0.5832	0.1903	1	14	28	49	112	21.7918	2015.6327	2.2857	0.4447
749	norway	0.003	-0.7552	4	46	444	500	7160	951.2104	2013.454	14.32	1.9024
760	oman	-0.0678	0.5864	3	18	25	23	103	11.3576	2014.5652	4.4783	0.4938
775	pakistan	0.2071	0.2554	3	36	155	246	968	190.7585	2015.3089	3.935	0.7754
792	peru	-0.9967	0.5115	5	11	20	35	119	23.6433	2017.2857	3.4	0.6755
807	philippines	0.7401	-1.0579	1	6	8	44	94	13.9959	2017.4091	2.1364	0.3181
817	poland	-0.2004	-0.3616	2	41	240	615	3247	636.531	2014.2276	5.2797	1.035
820	portugal	-0.7049	-0.0589	2	44	264	396	3073	482.8621	2014.2298	7.7601	1.2193
830	qatar	0.0952	0.9283	3	12	25	20	150	38.6029	2016.1	7.5	1.9301
870	romania	-0.1324	-0.4385	4	35	105	357	1337	198.214	2014.3165	3.7451	0.5552
874	russia	-0.0777	-0.2115	2	51	368	994	3400	601.8018	2015.173	3.4205	0.6054
893	saudi arabia	0.3984	0.563	3	40	180	245	1062	240.3589	2015.2571	4.3347	0.9811
908	serbia	-0.4982	-0.0849	2	21	48	116	869	130.2927	2012.9741	7.4914	1.1232
924	singapore	1.1851	-0.4001	1	37	262	333	3635	687.1825	2013.6637	10.9159	2.0636
928	slovakia	-0.3458	-0.3831	2	17	38	116	333	60.0444	2014.5431	2.8707	0.5176
929	slovenia	-0.4224	-0.3967	2	29	78	72	769	84.836	2012.0278	10.6806	1.1783
939	south africa	0.3432	0.0051	1	32	100	129	1040	154.122	2014.1705	8.062	1.1947
940	south korea	0.4155	-0.1027	1	49	367	893	5731	863.1095	2013.3326	6.4177	0.9665
945	spain	-0.7058	0.1697	5	61	834	1131	10998	1791.3213	2013.9434	9.7241	1.5838
950	sri lanka	1.9933	0.0141	1	9	24	37	129	20.6716	2014.4054	3.4865	0.5587
970	sweden	-0.0745	-0.5168	4	49	565	795	9527	1330.3455	2012.9421	11.9836	1.6734
972	switzerland	-0.5749	-0.379	2	59	893	709	10170	1414.1274	2013.2962	14.3441	1.9945
978	taiwan	0.637	-0.5675	1	34	157	592	4358	501.393	2011.5659	7.3615	0.8469
1003	thailand	0.4588	0.0612	1	24	62	231	754	115.7984	2014.4978	3.2641	0.5013
1022	tunisia	0.0501	0.9216	3	18	59	90	469	93.7515	2015.8222	5.2111	1.0417
1024	turkey	-0.0731	-0.315	4	50	255	532	4065	632.6561	2014.8365	7.641	1.1892
1027	uae	0.3599	0.6658	3	29	114	151	503	95.8657	2014.8278	3.3311	0.6349
1031	uk	0.0837	-0.1243	4	68	1822	2272	30659	4362.2799	2011.5396	13.4943	1.92
1033	ukraine	-0.3192	-0.3017	2	21	66	183	549	252.4887	2015.306	3	1.3797
1072	uruguay	-1.1381	0.5017	5	9	35	38	250	39.1829	2014.1842	6.5789	1.0311
