id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
473	abstract interpretation	0.769	-0.7237	4	20	30	23	2012.7826	11	1.3904
585	acceptance testing	0.0999	0.3433	2	43	64	39	2013.0769	5.0769	0.7957
589	access control	0.4464	-0.7918	10	25	38	26	2013.8462	6.5769	0.7548
608	accessibility	-0.4204	0.3166	1	21	26	30	2015.4333	2.6333	0.4658
641	accuracy	-0.5284	0.701	3	33	39	43	2012.7209	11.4884	1.1196
822	activity diagram	1.1791	-0.3943	10	18	38	21	2013.3333	7.2857	0.7857
992	adaptive random testing	1.1796	0.0852	6	48	150	95	2012.4842	21.5053	2.1627
1030	adaptive testing	0.4443	0.7519	6	21	33	28	2012.0714	12.6786	1.4234
1443	agile development	-0.1843	0.4448	2	81	186	155	2015.4323	6.8452	0.9302
1459	agile methods	0.0925	0.5237	2	19	26	22	2013.4545	6.5	0.653
1495	agile testing	0.3205	0.7227	2	20	28	23	2014.5217	5.0435	0.7137
1847	alloy	0.5053	-0.659	10	20	35	22	2013.5455	22.1818	1.9558
2167	android	-0.1558	0.0998	1	84	184	128	2016.6562	13.5938	2.4587
2208	android testing	0.572	-0.2521	2	14	23	20	2017.85	10.4	1.891
2291	anomaly detection	-0.2577	0.3437	3	22	34	29	2014.3448	7.2069	1.4521
2311	ant colony optimization	1.2343	0.5031	7	32	63	38	2015.8947	8.5789	1.3314
2594	application software	-1.0573	-0.1604	1	84	290	96	2002.9062	9.6562	0.6337
2947	artificial intelligence	-0.4187	0.5928	1	68	115	83	2013.2892	5.5904	1.3563
3040	aspect-oriented programming	0.6854	-0.6571	4	44	108	66	2011.5758	8.5758	0.7786
3054	aspectj	0.5313	-0.76	4	28	59	27	2011.2963	6.3333	0.6351
3512	augmented reality	-0.7694	0.2666	1	16	20	23	2016.8261	3.3478	0.7073
3593	automata	-1.0182	-0.5015	1	38	66	23	2007.1304	10.7826	1.0497
3624	automated debugging	0.901	0.024	7	19	35	38	2012.4474	21.7632	2.2242
3680	automated program repair	0.811	-0.0049	7	37	65	64	2017.25	12.25	3.2359
3724	automated test generation	0.7859	-0.2577	7	243	1668	1068	2013.4064	16.3596	1.7786
3974	automation	-0.2796	-0.0968	1	120	199	125	2013.808	3.456	0.5557
3999	automation testing	0.7262	-0.2553	9	20	40	20	2016	2.75	0.4066
4020	automotive	-0.4234	-0.1524	1	40	65	46	2015.7826	4.5	0.8322
4128	autonomous vehicles	-0.0539	0.3806	2	20	28	20	2016.55	3.95	1.3399
4873	benchmark	0.1712	-0.6726	9	26	44	34	2015.8529	8.6471	2.1523
4890	benchmark testing	-1.1158	-0.0863	1	37	50	20	2009.35	16.45	1.6629
4893	benchmarking	-0.0935	-0.0256	6	56	69	50	2016.08	5.36	1.2235
5033	big data	-0.0562	-0.4134	6	46	69	51	2017.6078	4.0784	0.8998
5394	black-box testing	0.6147	-0.1838	5	64	140	100	2011.83	9.82	0.9732
5802	branch coverage	1.1885	0.1868	7	48	109	56	2013.5179	17.4464	3.4576
6325	c#	0.5752	-0.8274	2	18	26	21	2014.6667	3.9048	0.5863
6330	c++	0.0271	-0.3835	4	36	56	35	2011.6571	11.2857	1.6349
6482	calibration	-0.5563	0.3158	1	20	26	50	2012.46	4.64	0.6966
7126	certification	-0.3512	-0.62	5	35	52	30	2012.8333	8.9333	1.0324
7233	change impact analysis	1.371	0.0466	8	21	49	27	2013.9259	7.2963	0.8378
7252	change-point	0.032	1.4124	6	16	87	43	2012.7209	13.7442	1.2837
7710	classification	-0.2278	0.7316	3	64	115	90	2014.9222	9.1222	1.5059
7917	cloud computing	-0.1259	-0.3611	6	108	257	224	2015.7857	5.6652	0.9162
7976	cloud testing	0.0359	-0.1478	6	20	51	39	2015.4872	8.0513	1.1028
8013	cluster analysis	0.9505	0.6613	8	19	26	22	2013.0909	17.5909	1.8574
8040	clustering	0.2557	0.5322	3	72	131	82	2015.1707	5.9634	1.0323
8302	code coverage	0.5964	0.0952	5	100	239	160	2014.9375	10.2438	1.4443
8321	code generation	0.2333	-0.526	4	44	55	28	2014.0357	6.25	0.9181
8785	combinatorial testing	0.7664	0.3253	7	114	395	349	2014.808	14.3467	1.8921
9076	compiler testing	0.9442	-0.3356	7	21	46	32	2013.6875	27.2812	3.4602
9161	complexity	0.157	0.1135	3	41	49	27	2013.8519	6.7407	0.6338
9182	component	-0.2741	-0.4426	1	61	83	79	2013.2658	5.0633	0.6055
9381	computational modeling	-1.1672	-0.209	1	36	64	22	2006.6364	9.2273	1.0672
9527	computer vision	-0.7556	0.4548	1	28	41	42	2016.381	8.3095	1.2218
9657	concolic execution	0.7152	-0.8346	5	23	37	23	2013.8696	15.087	2.6777
9659	concolic testing	0.9593	-0.7486	5	33	87	58	2015.1897	19.8966	2.2125
9693	concurrency	0.0724	-0.4128	4	54	115	133	2013.6391	16.2331	1.842
9699	concurrency bugs	-0.2359	-0.9069	4	12	18	24	2013.6667	16.125	1.6926
9741	concurrent programs	1.175	-0.2493	5	14	21	23	2007.8696	18.0435	1.4379
9898	conformance testing	0.2762	-0.6544	10	63	150	108	2011.037	7.4444	0.9014
10076	constraint solving	1.1643	-0.7272	7	28	70	48	2014.5833	8.5	1.0701
10094	constraints	0.988	0.3915	7	21	40	25	2011.32	33.76	5.667
10308	continuous integration	0.1904	0.357	2	67	120	94	2016.7234	9.1489	1.6952
10376	control	-0.445	0.0405	1	26	32	41	2014.0244	4.9756	0.6532
10414	control flow graph	0.8406	0.0913	5	45	64	45	2012.3556	6.0889	0.7585
10457	control system	-0.8038	-0.1031	1	12	17	34	2014.7647	2.0294	0.2913
10465	control systems	-0.6886	-0.4842	1	43	59	30	2009.0667	5.9333	0.4759
10762	correlation	-0.3091	0.6862	3	22	25	26	2014.6538	4.4231	1.0107
10806	cost	0.477	0.5076	6	34	48	23	2014.4783	5.2174	0.8966
10872	costs	-1.1805	-0.0385	1	61	154	44	2001.9318	11.2273	0.7734
10878	cots	-0.6567	-0.6829	1	16	22	20	2010.25	7.3	0.8207
10991	coverage criteria	0.5376	-0.0661	5	168	538	362	2012.2624	13.2099	1.5405
11038	covering arrays	0.8716	0.7041	7	32	105	96	2012.9479	28.5	2.7628
11399	crowdsourcing	-0.3466	-0.0366	1	23	25	34	2016.2941	11.0588	2.9934
11468	cryptography	-1.1295	-0.324	1	13	21	21	2014.9048	4.5238	0.736
11792	cyber-physical systems	-0.3767	-0.4281	1	38	52	44	2016.2045	6.7727	1.0498
12018	data acquisition	-0.7297	-0.4225	1	29	33	54	2013.3704	2.4444	0.3648
12037	data analysis	-0.8233	-0.2369	1	34	44	39	2011.5641	16.1538	2.1915
12124	data flow	0.503	-0.2332	5	31	52	36	2007.6667	21.4167	2.1172
12139	data flow testing	1.0756	0.4351	7	33	66	43	2010.5581	21.4651	2.2733
12179	data mining	-0.2296	0.4362	3	96	181	127	2012.5276	13.4567	1.4618
12207	data processing	-0.9057	-0.1137	1	15	16	20	2014.05	2.35	0.3687
12348	database	-0.2939	-0.1612	1	59	89	75	2012.2	8.9067	0.9393
12382	database testing	0.8434	-0.3079	5	17	27	25	2011.28	14.04	1.1725
12570	debugging	0.1508	-0.1531	4	135	353	239	2012.8494	16.4812	1.9689
12636	decision tree	-0.2738	0.9434	3	33	63	38	2012.3684	14.1316	1.8837
12709	deep learning	-0.2905	0.2826	3	63	116	89	2018.809	6.0562	2.465
12796	defect prediction	-0.2035	0.8674	3	61	167	150	2016.3333	16.68	2.715
12835	defects	-0.3805	0.5353	3	95	182	125	2013.664	7.696	1.0871
13078	dependability	-0.5379	-0.5882	1	54	127	55	2013.7091	3.2727	0.6662
13204	design	-0.7978	0.1233	1	50	85	75	2013.2533	5	0.8002
13390	detection	-0.3622	0.778	3	24	31	33	2014.9394	2.3333	0.6085
13556	devops	0.0779	0.397	2	28	38	26	2018.0769	2.8462	1.2785
13613	diagnosis	-0.2582	0.5991	3	27	30	29	2012.7241	12.2069	1.3306
13634	diagnostics	-0.5251	0.1301	1	21	27	23	2012.7391	4.2609	0.4857
14480	distributed system	-0.4932	-0.4155	1	25	25	20	2009.7	3.15	0.5831
14482	distributed systems	-0.4116	-0.7119	4	74	127	86	2011.6279	6.0465	0.8866
14491	distributed testing	0.0679	-0.226	2	24	28	20	2011.6	6.05	0.7484
14746	domain-specific languages	-0.2708	-0.5647	10	27	36	24	2015.0417	7.2917	1.2234
15244	dynamic analysis	0.1964	-0.3778	4	81	201	142	2013.2676	19.4577	2.351
15470	dynamic symbolic execution	0.9026	-0.7323	5	32	65	50	2014.38	9.76	1.2261
15487	dynamic testing	0.0366	-0.7123	6	17	19	20	2014.7	2.65	0.43
15869	effectiveness	0.3413	0.197	2	35	51	28	2014.5714	6.3929	0.8507
15883	efficiency	0.3247	0.0289	2	32	44	44	2015.0682	6.75	0.9744
16522	embedded software	-0.392	-0.305	1	137	327	268	2013.694	4.8545	0.6965
